id,last_modified,name,lat,lon,poi_type
268,06/11/2023,"Spartiacque Melezzo occidentale/melezzo Orientale
",8.4343963,46.132895,natural-saddle
269,06/11/2023,"Passo dello Scopello
",8.5280041,46.1134647,natural-saddle
270,06/11/2023,"Passo della Piazza
",8.6407503,46.0422528,natural-saddle
271,06/11/2023,Passo Del Cuvignone,8.6704,45.9265,natural-saddle
272,06/11/2023,Passo San Michele,8.7088695,45.9374725,natural-saddle
273,06/11/2023,"Passo della Motta Rossa
",8.8056211,45.8738177,natural-saddle
274,06/11/2023,"Passo dell'Alpe Tedesco
",8.8373878,45.8955754,natural-saddle
275,06/11/2023,"Passo della Forcora
",8.7776497,46.0747392,natural-saddle
276,06/11/2023,"Colle de Joux
",7.7030177,45.7540896,natural-saddle
277,06/11/2023,"Colle Tzecore
",7.7183385,45.728025,natural-saddle
278,06/11/2023,"Col d'Arlaz
",7.7007003,45.6998665,natural-saddle
279,06/11/2023,"Alpe Noveis
",8.1902502,45.7128177,natural-saddle
280,06/11/2023,"Bocchetta di Margosio
",8.127456,45.667456,natural-saddle
281,06/11/2023,"la Colma
",8.229421,45.6604802,natural-saddle
282,06/11/2023,"passo della Colma di Civiasco
",8.3189786,45.8084888,natural-saddle
283,06/11/2023,"Colle del Ghisallo
",9.2671007,45.923558,natural-saddle
284,06/11/2023,"Passo di Valcava
",9.5143693,45.7883228,natural-saddle
285,06/11/2023,"Forcella di Olino
",9.4740718,45.8883323,natural-saddle
286,06/11/2023,"Passo di Zambla
",9.7975521,45.8871435,natural-saddle
287,06/11/2023,"Passo del Selvino
",9.7563105,45.7852775,natural-saddle
288,06/11/2023,"Colle Gallo
",9.8739847,45.7541054,natural-saddle
289,06/11/2023,"Santuario d'Altino
",9.8622552,45.7621744,natural-saddle
290,06/11/2023,"Colli di san Fermo
",9.9552528,45.7330582,natural-saddle
291,06/11/2023,"Croce di Salven
",10.1545065,45.9459747,natural-saddle
292,06/11/2023,"Passo della Presolana
",10.0983518,45.9290731,natural-saddle
293,06/11/2023,"passo del Fletta
",10.3336566,46.1605326,natural-saddle
294,06/11/2023,"Valico di Trivigno
",10.1810913,46.1846045,natural-saddle
295,06/11/2023,"Passo di Guspessa
",10.2401535,46.2016399,natural-saddle
296,06/11/2023,"Passo dell'Eira
",10.165228,46.5382281,natural-saddle
297,06/11/2023,Passo di Fraele,10.2531094,46.5526507,natural-saddle
298,06/11/2023,"passo Tremalzo
",10.689744,45.8367455,natural-saddle
299,06/11/2023,"Bocca di Nevese
",10.7430486,45.7740018,natural-saddle
300,06/11/2023,"Passo s.Giovanni
",10.9063327,45.873957,natural-saddle
301,06/11/2023,"Passo santa Barbara
",10.9401776,45.8962693,natural-saddle
302,06/11/2023,"Passo Bordala
",10.9774729,45.9074685,natural-saddle
303,06/11/2023,"Passo del Casello
",10.8625456,45.6833774,natural-saddle
304,06/11/2023,"Col di Pealda Bassa
",10.962989,45.6814106,natural-saddle
305,06/11/2023,Passo Fittanze Di Sega,10.9792652,45.6831519,natural-saddle
306,06/11/2023,Bivio Del Pidocchio,11.0029538,45.6918183,natural-saddle
307,06/11/2023,"Bocca di Selva
",11.0562827,45.6687312,natural-saddle
308,06/11/2023,Passo del Branchetto,11.070291,45.6791564,natural-saddle
309,06/11/2023,"Passo di Camposilvano
",11.0882882,45.6269728,natural-saddle
310,06/11/2023,"Sella di Velo Veronese
",11.0960344,45.6066286,natural-saddle
311,06/11/2023,Passo Santa Caterina,11.2612694,45.6171194,natural-saddle
312,06/11/2023,"Passo dello Zovo
",11.3095348,45.6839931,natural-saddle
313,06/11/2023,"Capitello Cima
",11.3300054,45.6601228,natural-saddle
314,06/11/2023,"Passo Xon
",11.2202556,45.7205059,natural-saddle
315,06/11/2023,"Passo di Campogrosso
",11.1687572,45.7289619,natural-saddle
316,06/11/2023,"Passo Xomo
",11.237596,45.7770314,natural-saddle
317,06/11/2023,"Sella Serrada
",11.1546461,45.8917929,natural-saddle
318,06/11/2023,"Passo del Colletto Piccolo
",11.3536485,45.7699375,natural-saddle
319,06/11/2023,"Sella di Turcio
",11.5466494,45.8493613,natural-saddle
320,06/11/2023,"Passo Stretto
",11.5985126,45.8270122,natural-saddle
321,06/11/2023,"Bocchetta di Conco
",11.6095944,45.8172192,natural-saddle
322,06/11/2023,"Portella Torretta
",13.2484777,38.129201,natural-saddle
323,06/11/2023,"Valico di Pierdiscini
",10.33741,44.10393,natural-saddle
324,06/11/2023,Pettino,12.8068097,42.8587175,natural-saddle
325,06/11/2023,"Valico del Soglio
",12.8965206,42.9049723,natural-saddle
326,06/11/2023,"Passo di Gavelli
",12.9221756,42.6731576,natural-saddle
327,06/11/2023,"Poggio le Guaine
",12.5664898,43.5451726,natural-saddle
328,06/11/2023,"La Montagnola
",12.5429499,43.5544,natural-saddle
329,06/11/2023,"Monte Nerone
",12.5180985,43.5554723,natural-saddle
330,06/11/2023,"Foce da Caprile
",12.7276541,43.4761668,natural-saddle
331,06/11/2023,valico di Fossato,12.8012543,43.2991026,natural-saddle
332,06/11/2023,"Valico Monte Cucco
",12.7822797,43.3413024,natural-saddle
333,06/11/2023,"La Morca
",12.9352934,43.2084713,natural-saddle
334,06/11/2023,"Pian dell'Elmo
",13.0665508,43.3098976,natural-saddle
335,06/11/2023,"Colle santa Barbara
",13.0479694,43.1021083,natural-saddle
336,06/11/2023,Valico di Colfiorito,12.8586269,43.002835,natural-saddle
337,06/11/2023,"Piani di Montelago
",12.972833,43.1140055,natural-saddle
338,06/11/2023,"Colle Morelle
",13.0929424,42.9777688,natural-saddle
339,06/11/2023,Vallestretta,13.1393742,42.9642664,natural-saddle
340,06/11/2023,"Sella della Maddalena
",13.2423586,43.0092711,natural-saddle
341,06/11/2023,"Piè la Rocca
",13.1163122,42.8209558,natural-saddle
342,06/11/2023,"Forca della Civita
",13.1189653,42.6967125,natural-saddle
343,06/11/2023,"Forca di Chiavano
",13.0732115,42.6688762,natural-saddle
344,06/11/2023,"La Forca
",13.1363418,42.6380604,natural-saddle
345,06/11/2023,"Forca Rua la Cama
",12.9760896,42.6966919,natural-saddle
346,06/11/2023,"Torre Fuscello
",12.9149921,42.5642957,natural-saddle
347,06/11/2023,"Valico di val carpineto
",13.054696,42.5304142,natural-saddle
348,06/11/2023,"Valico Cancelli
",13.2905608,42.5677703,natural-saddle
349,06/11/2023,"Valico Prato dell'Abate
",13.3429466,42.5342488,natural-saddle
350,06/11/2023,"Valico Cornillo Nuovo
",13.3362636,42.617575,natural-saddle
351,06/11/2023,"Sella Ciarelli
",13.5027537,42.6908398,natural-saddle
352,06/11/2023,"Valico di Santo Stefano di Sessanio
",13.6163171,42.3371076,natural-saddle
353,06/11/2023,"Valico rocca di Cambio
",13.4910079,42.2449656,natural-saddle
354,06/11/2023,"Vado della Forcella
",13.5209465,42.1937963,natural-saddle
355,06/11/2023,"Vado di Pezza
",13.4837818,42.1817131,natural-saddle
356,06/11/2023,"Valico di Fonte   Capo la Maina
",13.4655902,42.1075849,natural-saddle
357,06/11/2023,"Valico Olmo di Bobbi
",13.7443713,42.0477228,natural-saddle
358,06/11/2023,"La crocetta
",13.4187199,42.2357849,natural-saddle
359,06/11/2023,"Passo Tettone
",14.1160148,42.171373,natural-saddle
